"","TIME","DEM"
"1",2015-01-01 00:00:00,47452
"2",2015-01-01 00:15:00,47264
"3",2015-01-01 00:30:00,46722
"4",2015-01-01 00:45:00,46372
"5",2015-01-01 01:00:00,45985
"6",2015-01-01 01:15:00,45792
"7",2015-01-01 01:30:00,45728
"8",2015-01-01 01:45:00,45501
"9",2015-01-01 02:00:00,45473
"10",2015-01-01 02:15:00,45262
"11",2015-01-01 02:30:00,45232
"12",2015-01-01 02:45:00,45258
"13",2015-01-01 03:00:00,45331
"14",2015-01-01 03:15:00,45264
"15",2015-01-01 03:30:00,45490
"16",2015-01-01 03:45:00,45607
"17",2015-01-01 04:00:00,45783
"18",2015-01-01 04:15:00,45783
"19",2015-01-01 04:30:00,45737
"20",2015-01-01 04:45:00,45503
"21",2015-01-01 05:00:00,44242
"22",2015-01-01 05:15:00,43452
"23",2015-01-01 05:30:00,43979
"24",2015-01-01 05:45:00,44630
"25",2015-01-01 06:00:00,46213
"26",2015-01-01 06:15:00,47594
"27",2015-01-01 06:30:00,47858
"28",2015-01-01 06:45:00,48349
"29",2015-01-01 07:00:00,49339
"30",2015-01-01 07:15:00,49841
"31",2015-01-01 07:30:00,49804
"32",2015-01-01 07:45:00,50481
"33",2015-01-01 08:00:00,51565
"34",2015-01-01 08:15:00,52430
"35",2015-01-01 08:30:00,52860
"36",2015-01-01 08:45:00,53306
"37",2015-01-01 09:00:00,53855
"38",2015-01-01 09:15:00,54502
"39",2015-01-01 09:30:00,55303
"40",2015-01-01 09:45:00,55741
"41",2015-01-01 10:00:00,56705
"42",2015-01-01 10:15:00,57284
"43",2015-01-01 10:30:00,57917
"44",2015-01-01 10:45:00,57994
"45",2015-01-01 11:00:00,58035
"46",2015-01-01 11:15:00,58005
"47",2015-01-01 11:30:00,57915
"48",2015-01-01 11:45:00,56818
"49",2015-01-01 12:00:00,55345
"50",2015-01-01 12:15:00,54964
"51",2015-01-01 12:30:00,55505
"52",2015-01-01 12:45:00,55117
"53",2015-01-01 13:00:00,54280
"54",2015-01-01 13:15:00,54595
"55",2015-01-01 13:30:00,55248
"56",2015-01-01 13:45:00,54755
"57",2015-01-01 14:00:00,54969
"58",2015-01-01 14:15:00,54979
"59",2015-01-01 14:30:00,54831
"60",2015-01-01 14:45:00,54969
"61",2015-01-01 15:00:00,55502
"62",2015-01-01 15:15:00,55933
"63",2015-01-01 15:30:00,57043
"64",2015-01-01 15:45:00,58396
"65",2015-01-01 16:00:00,59344
"66",2015-01-01 16:15:00,60264
"67",2015-01-01 16:30:00,60885
"68",2015-01-01 16:45:00,61063
"69",2015-01-01 17:00:00,61475
"70",2015-01-01 17:15:00,61549
"71",2015-01-01 17:30:00,61500
"72",2015-01-01 17:45:00,61217
"73",2015-01-01 18:00:00,61071
"74",2015-01-01 18:15:00,60715
"75",2015-01-01 18:30:00,60306
"76",2015-01-01 18:45:00,59631
"77",2015-01-01 19:00:00,58893
"78",2015-01-01 19:15:00,57931
"79",2015-01-01 19:30:00,57047
"80",2015-01-01 19:45:00,56404
"81",2015-01-01 20:00:00,56317
"82",2015-01-01 20:15:00,56030
"83",2015-01-01 20:30:00,54627
"84",2015-01-01 20:45:00,54605
"85",2015-01-01 21:00:00,55582
"86",2015-01-01 21:15:00,55255
"87",2015-01-01 21:30:00,55505
"88",2015-01-01 21:45:00,54628
"89",2015-01-01 22:00:00,54016
"90",2015-01-01 22:15:00,53275
"91",2015-01-01 22:30:00,51354
"92",2015-01-01 22:45:00,49892
"93",2015-01-01 23:00:00,48143
"94",2015-01-01 23:15:00,45927
"95",2015-01-01 23:30:00,47127
"96",2015-01-01 23:45:00,46637
"97",2015-01-02 00:00:00,46044
"98",2015-01-02 00:15:00,45518
"99",2015-01-02 00:30:00,45267
"100",2015-01-02 00:45:00,44961
"101",2015-01-02 01:00:00,44605
"102",2015-01-02 01:15:00,44503
"103",2015-01-02 01:30:00,44525
"104",2015-01-02 01:45:00,44385
"105",2015-01-02 02:00:00,44549
"106",2015-01-02 02:15:00,44447
"107",2015-01-02 02:30:00,44410
"108",2015-01-02 02:45:00,44594
"109",2015-01-02 03:00:00,45238
"110",2015-01-02 03:15:00,45426
"111",2015-01-02 03:30:00,45742
"112",2015-01-02 03:45:00,46323
"113",2015-01-02 04:00:00,47017
"114",2015-01-02 04:15:00,47143
"115",2015-01-02 04:30:00,47795
"116",2015-01-02 04:45:00,48727
"117",2015-01-02 05:00:00,49506
"118",2015-01-02 05:15:00,50251
"119",2015-01-02 05:30:00,51562
"120",2015-01-02 05:45:00,52893
"121",2015-01-02 06:00:00,55357
"122",2015-01-02 06:15:00,57298
"123",2015-01-02 06:30:00,58203
"124",2015-01-02 06:45:00,59026
"125",2015-01-02 07:00:00,59968
"126",2015-01-02 07:15:00,60084
"127",2015-01-02 07:30:00,60302
"128",2015-01-02 07:45:00,60557
"129",2015-01-02 08:00:00,60965
"130",2015-01-02 08:15:00,61721
"131",2015-01-02 08:30:00,62091
"132",2015-01-02 08:45:00,62423
"133",2015-01-02 09:00:00,62718
"134",2015-01-02 09:15:00,62876
"135",2015-01-02 09:30:00,63229
"136",2015-01-02 09:45:00,63675
"137",2015-01-02 10:00:00,63963
"138",2015-01-02 10:15:00,64480
"139",2015-01-02 10:30:00,64623
"140",2015-01-02 10:45:00,64400
"141",2015-01-02 11:00:00,64544
"142",2015-01-02 11:15:00,64288
"143",2015-01-02 11:30:00,64284
"144",2015-01-02 11:45:00,63262
"145",2015-01-02 12:00:00,61898
"146",2015-01-02 12:15:00,61671
"147",2015-01-02 12:30:00,62254
"148",2015-01-02 12:45:00,62066
"149",2015-01-02 13:00:00,60625
"150",2015-01-02 13:15:00,61478
"151",2015-01-02 13:30:00,62053
"152",2015-01-02 13:45:00,61962
"153",2015-01-02 14:00:00,61907
"154",2015-01-02 14:15:00,61475
"155",2015-01-02 14:30:00,61504
"156",2015-01-02 14:45:00,61303
"157",2015-01-02 15:00:00,61957
"158",2015-01-02 15:15:00,62419
"159",2015-01-02 15:30:00,63442
"160",2015-01-02 15:45:00,64529
"161",2015-01-02 16:00:00,65370
"162",2015-01-02 16:15:00,66226
"163",2015-01-02 16:30:00,66479
"164",2015-01-02 16:45:00,66627
"165",2015-01-02 17:00:00,66502
"166",2015-01-02 17:15:00,66134
"167",2015-01-02 17:30:00,66005
"168",2015-01-02 17:45:00,65609
"169",2015-01-02 18:00:00,65148
"170",2015-01-02 18:15:00,64313
"171",2015-01-02 18:30:00,63682
"172",2015-01-02 18:45:00,62727
"173",2015-01-02 19:00:00,61478
"174",2015-01-02 19:15:00,60219
"175",2015-01-02 19:30:00,58994
"176",2015-01-02 19:45:00,58097
"177",2015-01-02 20:00:00,57546
"178",2015-01-02 20:15:00,55956
"179",2015-01-02 20:30:00,53975
"180",2015-01-02 20:45:00,53445
"181",2015-01-02 21:00:00,54075
"182",2015-01-02 21:15:00,54144
"183",2015-01-02 21:30:00,53274
"184",2015-01-02 21:45:00,52268
"185",2015-01-02 22:00:00,51953
"186",2015-01-02 22:15:00,51756
"187",2015-01-02 22:30:00,52045
"188",2015-01-02 22:45:00,50595
"189",2015-01-02 23:00:00,49815
"190",2015-01-02 23:15:00,48447
"191",2015-01-02 23:30:00,49828
"192",2015-01-02 23:45:00,49125
"193",2015-01-03 00:00:00,48413
"194",2015-01-03 00:15:00,47828
"195",2015-01-03 00:30:00,47395
"196",2015-01-03 00:45:00,47091
"197",2015-01-03 01:00:00,46753
"198",2015-01-03 01:15:00,46527
"199",2015-01-03 01:30:00,46400
"200",2015-01-03 01:45:00,46335
"201",2015-01-03 02:00:00,46321
"202",2015-01-03 02:15:00,46164
"203",2015-01-03 02:30:00,46490
"204",2015-01-03 02:45:00,46732
"205",2015-01-03 03:00:00,46656
"206",2015-01-03 03:15:00,46500
"207",2015-01-03 03:30:00,47098
"208",2015-01-03 03:45:00,47217
"209",2015-01-03 04:00:00,47039
"210",2015-01-03 04:15:00,46788
"211",2015-01-03 04:30:00,46848
"212",2015-01-03 04:45:00,46811
"213",2015-01-03 05:00:00,46832
"214",2015-01-03 05:15:00,46859
"215",2015-01-03 05:30:00,47281
"216",2015-01-03 05:45:00,48042
"217",2015-01-03 06:00:00,48922
"218",2015-01-03 06:15:00,49706
"219",2015-01-03 06:30:00,50655
"220",2015-01-03 06:45:00,51632
"221",2015-01-03 07:00:00,52841
"222",2015-01-03 07:15:00,53636
"223",2015-01-03 07:30:00,54539
"224",2015-01-03 07:45:00,55286
"225",2015-01-03 08:00:00,56352
"226",2015-01-03 08:15:00,57214
"227",2015-01-03 08:30:00,57672
"228",2015-01-03 08:45:00,58158
"229",2015-01-03 09:00:00,59025
"230",2015-01-03 09:15:00,59491
"231",2015-01-03 09:30:00,59694
"232",2015-01-03 09:45:00,60126
"233",2015-01-03 10:00:00,60503
"234",2015-01-03 10:15:00,60930
"235",2015-01-03 10:30:00,61192
"236",2015-01-03 10:45:00,60909
"237",2015-01-03 11:00:00,60772
"238",2015-01-03 11:15:00,60497
"239",2015-01-03 11:30:00,60174
"240",2015-01-03 11:45:00,59980
"241",2015-01-03 12:00:00,59681
"242",2015-01-03 12:15:00,59379
"243",2015-01-03 12:30:00,58866
"244",2015-01-03 12:45:00,58775
"245",2015-01-03 13:00:00,58308
"246",2015-01-03 13:15:00,58028
"247",2015-01-03 13:30:00,57731
"248",2015-01-03 13:45:00,57606
"249",2015-01-03 14:00:00,57677
"250",2015-01-03 14:15:00,57220
"251",2015-01-03 14:30:00,56657
"252",2015-01-03 14:45:00,57312
"253",2015-01-03 15:00:00,58082
"254",2015-01-03 15:15:00,58468
"255",2015-01-03 15:30:00,58800
"256",2015-01-03 15:45:00,59511
"257",2015-01-03 16:00:00,59919
"258",2015-01-03 16:15:00,60835
"259",2015-01-03 16:30:00,61071
"260",2015-01-03 16:45:00,61121
"261",2015-01-03 17:00:00,61380
"262",2015-01-03 17:15:00,60853
"263",2015-01-03 17:30:00,60735
"264",2015-01-03 17:45:00,60563
"265",2015-01-03 18:00:00,60202
"266",2015-01-03 18:15:00,59770
"267",2015-01-03 18:30:00,59320
"268",2015-01-03 18:45:00,58572
"269",2015-01-03 19:00:00,57711
"270",2015-01-03 19:15:00,56684
"271",2015-01-03 19:30:00,55670
"272",2015-01-03 19:45:00,55177
"273",2015-01-03 20:00:00,54798
"274",2015-01-03 20:15:00,54441
"275",2015-01-03 20:30:00,54068
"276",2015-01-03 20:45:00,53819
"277",2015-01-03 21:00:00,54278
"278",2015-01-03 21:15:00,54532
"279",2015-01-03 21:30:00,54107
"280",2015-01-03 21:45:00,53261
"281",2015-01-03 22:00:00,52754
"282",2015-01-03 22:15:00,51285
"283",2015-01-03 22:30:00,50532
"284",2015-01-03 22:45:00,50361
"285",2015-01-03 23:00:00,49483
"286",2015-01-03 23:15:00,47893
"287",2015-01-03 23:30:00,46832
"288",2015-01-03 23:45:00,46509
"289",2015-01-04 00:00:00,45920
"290",2015-01-04 00:15:00,45588
"291",2015-01-04 00:30:00,45219
"292",2015-01-04 00:45:00,44538
"293",2015-01-04 01:00:00,44425
"294",2015-01-04 01:15:00,44167
"295",2015-01-04 01:30:00,44091
"296",2015-01-04 01:45:00,43912
"297",2015-01-04 02:00:00,44218
"298",2015-01-04 02:15:00,44432
"299",2015-01-04 02:30:00,44269
"300",2015-01-04 02:45:00,43985
"301",2015-01-04 03:00:00,44123
"302",2015-01-04 03:15:00,44112
"303",2015-01-04 03:30:00,44330
"304",2015-01-04 03:45:00,44263
"305",2015-01-04 04:00:00,44232
"306",2015-01-04 04:15:00,44033
"307",2015-01-04 04:30:00,43739
"308",2015-01-04 04:45:00,43184
"309",2015-01-04 05:00:00,42420
"310",2015-01-04 05:15:00,42119
"311",2015-01-04 05:30:00,42025
"312",2015-01-04 05:45:00,41992
"313",2015-01-04 06:00:00,42443
"314",2015-01-04 06:15:00,42951
"315",2015-01-04 06:30:00,43644
"316",2015-01-04 06:45:00,44659
"317",2015-01-04 07:00:00,45521
"318",2015-01-04 07:15:00,46181
"319",2015-01-04 07:30:00,47123
"320",2015-01-04 07:45:00,47996
"321",2015-01-04 08:00:00,49520
"322",2015-01-04 08:15:00,50410
"323",2015-01-04 08:30:00,50973
"324",2015-01-04 08:45:00,51646
"325",2015-01-04 09:00:00,52284
"326",2015-01-04 09:15:00,52763
"327",2015-01-04 09:30:00,53329
"328",2015-01-04 09:45:00,53785
"329",2015-01-04 10:00:00,54671
"330",2015-01-04 10:15:00,55450
"331",2015-01-04 10:30:00,55957
"332",2015-01-04 10:45:00,56108
"333",2015-01-04 11:00:00,56262
"334",2015-01-04 11:15:00,55985
"335",2015-01-04 11:30:00,55659
"336",2015-01-04 11:45:00,55183
"337",2015-01-04 12:00:00,54665
"338",2015-01-04 12:15:00,54338
"339",2015-01-04 12:30:00,53844
"340",2015-01-04 12:45:00,53486
"341",2015-01-04 13:00:00,53207
"342",2015-01-04 13:15:00,52590
"343",2015-01-04 13:30:00,52275
"344",2015-01-04 13:45:00,52181
"345",2015-01-04 14:00:00,52296
"346",2015-01-04 14:15:00,52289
"347",2015-01-04 14:30:00,52153
"348",2015-01-04 14:45:00,52455
"349",2015-01-04 15:00:00,52749
"350",2015-01-04 15:15:00,53282
"351",2015-01-04 15:30:00,54017
"352",2015-01-04 15:45:00,55204
"353",2015-01-04 16:00:00,56630
"354",2015-01-04 16:15:00,57814
"355",2015-01-04 16:30:00,58266
"356",2015-01-04 16:45:00,58517
"357",2015-01-04 17:00:00,59086
"358",2015-01-04 17:15:00,59337
"359",2015-01-04 17:30:00,59322
"360",2015-01-04 17:45:00,59104
"361",2015-01-04 18:00:00,58842
"362",2015-01-04 18:15:00,58230
"363",2015-01-04 18:30:00,57780
"364",2015-01-04 18:45:00,56911
"365",2015-01-04 19:00:00,56110
"366",2015-01-04 19:15:00,55280
"367",2015-01-04 19:30:00,54567
"368",2015-01-04 19:45:00,53908
"369",2015-01-04 20:00:00,53879
"370",2015-01-04 20:15:00,53533
"371",2015-01-04 20:30:00,53543
"372",2015-01-04 20:45:00,53751
"373",2015-01-04 21:00:00,54551
"374",2015-01-04 21:15:00,54585
"375",2015-01-04 21:30:00,53914
"376",2015-01-04 21:45:00,52960
"377",2015-01-04 22:00:00,52297
"378",2015-01-04 22:15:00,51931
"379",2015-01-04 22:30:00,51453
"380",2015-01-04 22:45:00,50585
"381",2015-01-04 23:00:00,51003
"382",2015-01-04 23:15:00,50480
"383",2015-01-04 23:30:00,50145
"384",2015-01-04 23:45:00,49678
"385",2015-01-05 00:00:00,49198
"386",2015-01-05 00:15:00,48671
"387",2015-01-05 00:30:00,48291
"388",2015-01-05 00:45:00,48238
"389",2015-01-05 01:00:00,47612
"390",2015-01-05 01:15:00,47382
"391",2015-01-05 01:30:00,47282
"392",2015-01-05 01:45:00,47180
"393",2015-01-05 02:00:00,47273
"394",2015-01-05 02:15:00,47196
"395",2015-01-05 02:30:00,47311
"396",2015-01-05 02:45:00,47389
"397",2015-01-05 03:00:00,47782
"398",2015-01-05 03:15:00,48105
"399",2015-01-05 03:30:00,48530
"400",2015-01-05 03:45:00,49064
"401",2015-01-05 04:00:00,49714
"402",2015-01-05 04:15:00,50698
"403",2015-01-05 04:30:00,51544
"404",2015-01-05 04:45:00,52486
"405",2015-01-05 05:00:00,54481
"406",2015-01-05 05:15:00,56543
"407",2015-01-05 05:30:00,57889
"408",2015-01-05 05:45:00,59256
"409",2015-01-05 06:00:00,61336
"410",2015-01-05 06:15:00,62577
"411",2015-01-05 06:30:00,63288
"412",2015-01-05 06:45:00,63981
"413",2015-01-05 07:00:00,65060
"414",2015-01-05 07:15:00,65250
"415",2015-01-05 07:30:00,65467
"416",2015-01-05 07:45:00,65875
"417",2015-01-05 08:00:00,66134
"418",2015-01-05 08:15:00,66527
"419",2015-01-05 08:30:00,67038
"420",2015-01-05 08:45:00,66831
"421",2015-01-05 09:00:00,67670
"422",2015-01-05 09:15:00,67874
"423",2015-01-05 09:30:00,68558
"424",2015-01-05 09:45:00,68323
"425",2015-01-05 10:00:00,68745
"426",2015-01-05 10:15:00,69367
"427",2015-01-05 10:30:00,69657
"428",2015-01-05 10:45:00,69639
"429",2015-01-05 11:00:00,69364
"430",2015-01-05 11:15:00,69980
"431",2015-01-05 11:30:00,69282
"432",2015-01-05 11:45:00,69886
"433",2015-01-05 12:00:00,69098
"434",2015-01-05 12:15:00,67196
"435",2015-01-05 12:30:00,68879
"436",2015-01-05 12:45:00,68091
"437",2015-01-05 13:00:00,66061
"438",2015-01-05 13:15:00,65781
"439",2015-01-05 13:30:00,66035
"440",2015-01-05 13:45:00,67835
"441",2015-01-05 14:00:00,67861
"442",2015-01-05 14:15:00,67760
"443",2015-01-05 14:30:00,67234
"444",2015-01-05 14:45:00,66740
"445",2015-01-05 15:00:00,67366
"446",2015-01-05 15:15:00,67011
"447",2015-01-05 15:30:00,67413
"448",2015-01-05 15:45:00,68147
"449",2015-01-05 16:00:00,68617
"450",2015-01-05 16:15:00,69165
"451",2015-01-05 16:30:00,69680
"452",2015-01-05 16:45:00,70082
"453",2015-01-05 17:00:00,70026
"454",2015-01-05 17:15:00,69973
"455",2015-01-05 17:30:00,70495
"456",2015-01-05 17:45:00,70658
"457",2015-01-05 18:00:00,70083
"458",2015-01-05 18:15:00,69743
"459",2015-01-05 18:30:00,69167
"460",2015-01-05 18:45:00,68315
"461",2015-01-05 19:00:00,66896
"462",2015-01-05 19:15:00,65989
"463",2015-01-05 19:30:00,64809
"464",2015-01-05 19:45:00,63821
"465",2015-01-05 20:00:00,62870
"466",2015-01-05 20:15:00,62603
"467",2015-01-05 20:30:00,61550
"468",2015-01-05 20:45:00,61040
"469",2015-01-05 21:00:00,61045
"470",2015-01-05 21:15:00,60807
"471",2015-01-05 21:30:00,59714
"472",2015-01-05 21:45:00,58606
"473",2015-01-05 22:00:00,55419
"474",2015-01-05 22:15:00,56405
"475",2015-01-05 22:30:00,55451
"476",2015-01-05 22:45:00,54625
"477",2015-01-05 23:00:00,54442
"478",2015-01-05 23:15:00,49935
"479",2015-01-05 23:30:00,52796
"480",2015-01-05 23:45:00,52169
"481",2015-01-06 00:00:00,51786
"482",2015-01-06 00:15:00,51137
"483",2015-01-06 00:30:00,50694
"484",2015-01-06 00:45:00,50238
"485",2015-01-06 01:00:00,49895
"486",2015-01-06 01:15:00,49566
"487",2015-01-06 01:30:00,50006
"488",2015-01-06 01:45:00,49466
"489",2015-01-06 02:00:00,49541
"490",2015-01-06 02:15:00,49339
"491",2015-01-06 02:30:00,49406
"492",2015-01-06 02:45:00,49657
"493",2015-01-06 03:00:00,49879
"494",2015-01-06 03:15:00,50182
"495",2015-01-06 03:30:00,50478
"496",2015-01-06 03:45:00,50839
"497",2015-01-06 04:00:00,51820
"498",2015-01-06 04:15:00,52325
"499",2015-01-06 04:30:00,53043
