"","TIME","PUN"
"30430",2015-01-01 00:00:00,18.29
"30429",2015-01-01 01:00:00,16.04
"30428",2015-01-01 02:00:00,14.6
"30427",2015-01-01 03:00:00,14.95
"30426",2015-01-01 04:00:00,14.5
"30425",2015-01-01 05:00:00,10.76
"30424",2015-01-01 06:00:00,12.01
"30423",2015-01-01 07:00:00,12.39
"30422",2015-01-01 08:00:00,14.04
"30421",2015-01-01 09:00:00,14.68
"30420",2015-01-01 10:00:00,16.08
"30419",2015-01-01 11:00:00,16.08
"30418",2015-01-01 12:00:00,16.05
"30417",2015-01-01 13:00:00,16.04
"30416",2015-01-01 14:00:00,16.1
"30415",2015-01-01 15:00:00,23.93
"30414",2015-01-01 16:00:00,26.9
"30413",2015-01-01 17:00:00,26.36
"30412",2015-01-01 18:00:00,23.98
"30411",2015-01-01 19:00:00,16.09
"30410",2015-01-01 20:00:00,14.08
"30409",2015-01-01 21:00:00,12.44
"30408",2015-01-01 22:00:00,0.04
"30407",2015-01-01 23:00:00,-12.11
"30406",2015-01-02 00:00:00,-19.63
"30405",2015-01-02 01:00:00,-19.37
"30404",2015-01-02 02:00:00,-31.41
"30403",2015-01-02 03:00:00,-46.97
"30402",2015-01-02 04:00:00,-13.48
"30401",2015-01-02 05:00:00,0.08
"30400",2015-01-02 06:00:00,10.06
"30399",2015-01-02 07:00:00,14.25
"30398",2015-01-02 08:00:00,14.56
"30397",2015-01-02 09:00:00,14.64
"30396",2015-01-02 10:00:00,15.08
"30395",2015-01-02 11:00:00,15.41
"30394",2015-01-02 12:00:00,14.52
"30393",2015-01-02 13:00:00,14.7
"30392",2015-01-02 14:00:00,14.66
"30391",2015-01-02 15:00:00,16.09
"30390",2015-01-02 16:00:00,25.1
"30389",2015-01-02 17:00:00,25.06
"30388",2015-01-02 18:00:00,19.08
"30387",2015-01-02 19:00:00,14.26
"30386",2015-01-02 20:00:00,12.22
"30385",2015-01-02 21:00:00,10.4
"30384",2015-01-02 22:00:00,-0.33
"30383",2015-01-02 23:00:00,-0.08
"30382",2015-01-03 00:00:00,-0.07
"30381",2015-01-03 01:00:00,-5.03
"30380",2015-01-03 02:00:00,0.01
"30379",2015-01-03 03:00:00,-0.04
"30378",2015-01-03 04:00:00,0.03
"30377",2015-01-03 05:00:00,-8.67
"30376",2015-01-03 06:00:00,4.46
"30375",2015-01-03 07:00:00,9.9
"30374",2015-01-03 08:00:00,14.29
"30373",2015-01-03 09:00:00,16.73
"30372",2015-01-03 10:00:00,22.31
"30371",2015-01-03 11:00:00,23.03
"30370",2015-01-03 12:00:00,22.4
"30369",2015-01-03 13:00:00,27.07
"30368",2015-01-03 14:00:00,29.33
"30367",2015-01-03 15:00:00,33.85
"30366",2015-01-03 16:00:00,45.96
"30365",2015-01-03 17:00:00,49.82
"30364",2015-01-03 18:00:00,47.62
"30363",2015-01-03 19:00:00,35.98
"30362",2015-01-03 20:00:00,27.26
"30361",2015-01-03 21:00:00,27.7
"30360",2015-01-03 22:00:00,14.27
"30359",2015-01-03 23:00:00,9.32
"30358",2015-01-04 00:00:00,0.02
"30357",2015-01-04 01:00:00,-0.04
"30356",2015-01-04 02:00:00,0.01
"30355",2015-01-04 03:00:00,0
"30354",2015-01-04 04:00:00,-0.01
"30353",2015-01-04 05:00:00,-3.18
"30352",2015-01-04 06:00:00,-0.05
"30351",2015-01-04 07:00:00,0.05
"30350",2015-01-04 08:00:00,9.62
"30349",2015-01-04 09:00:00,11.54
"30348",2015-01-04 10:00:00,14.68
"30347",2015-01-04 11:00:00,14.31
"30346",2015-01-04 12:00:00,11.18
"30345",2015-01-04 13:00:00,12.01
"30344",2015-01-04 14:00:00,14.36
"30343",2015-01-04 15:00:00,17.55
"30342",2015-01-04 16:00:00,28.94
"30341",2015-01-04 17:00:00,29.59
"30340",2015-01-04 18:00:00,29.42
"30339",2015-01-04 19:00:00,28.92
"30338",2015-01-04 20:00:00,28.66
"30337",2015-01-04 21:00:00,29.74
"30336",2015-01-04 22:00:00,24.9
"30335",2015-01-04 23:00:00,22.34
"30334",2015-01-05 00:00:00,17.93
"30333",2015-01-05 01:00:00,15.17
"30332",2015-01-05 02:00:00,16.38
"30331",2015-01-05 03:00:00,17.38
"30330",2015-01-05 04:00:00,16.38
"30329",2015-01-05 05:00:00,26.61
"30328",2015-01-05 06:00:00,37.63
"30327",2015-01-05 07:00:00,39.09
"30326",2015-01-05 08:00:00,41.51
"30325",2015-01-05 09:00:00,40.46
"30324",2015-01-05 10:00:00,40.97
"30323",2015-01-05 11:00:00,40.72
"30322",2015-01-05 12:00:00,41.92
"30321",2015-01-05 13:00:00,42
"30320",2015-01-05 14:00:00,43.1
"30319",2015-01-05 15:00:00,46.7
"30318",2015-01-05 16:00:00,56.78
"30317",2015-01-05 17:00:00,58.84
"30316",2015-01-05 18:00:00,49.23
"30315",2015-01-05 19:00:00,44.32
"30314",2015-01-05 20:00:00,40
"30313",2015-01-05 21:00:00,35.08
"30312",2015-01-05 22:00:00,30.03
"30311",2015-01-05 23:00:00,30.02
"30310",2015-01-06 00:00:00,30.57
"30309",2015-01-06 01:00:00,30.25
"30308",2015-01-06 02:00:00,30.29
"30307",2015-01-06 03:00:00,30.63
"30306",2015-01-06 04:00:00,29.64
"30305",2015-01-06 05:00:00,29.67
"30304",2015-01-06 06:00:00,38.82
"30303",2015-01-06 07:00:00,40.76
"30302",2015-01-06 08:00:00,40.02
"30301",2015-01-06 09:00:00,33.99
"30300",2015-01-06 10:00:00,31.22
"30299",2015-01-06 11:00:00,30.06
"30298",2015-01-06 12:00:00,29.99
"30297",2015-01-06 13:00:00,30.73
"30296",2015-01-06 14:00:00,37.38
"30295",2015-01-06 15:00:00,40.32
"30294",2015-01-06 16:00:00,45.96
"30293",2015-01-06 17:00:00,45.71
"30292",2015-01-06 18:00:00,39.57
"30291",2015-01-06 19:00:00,32.92
"30290",2015-01-06 20:00:00,29.15
"30289",2015-01-06 21:00:00,28.46
"30288",2015-01-06 22:00:00,26.97
"30287",2015-01-06 23:00:00,24.97
"30286",2015-01-07 00:00:00,24.65
