"","TIME","WIND.MW.AT"
"5",2015-01-01 00:00:00,146.25
"6",2015-01-01 00:15:00,176.19
"7",2015-01-01 00:30:00,206.13
"8",2015-01-01 00:45:00,236.07
"9",2015-01-01 01:00:00,216.15
"10",2015-01-01 01:15:00,196.23
"11",2015-01-01 01:30:00,176.31
"12",2015-01-01 01:45:00,156.38
"13",2015-01-01 02:00:00,160.02
"14",2015-01-01 02:15:00,163.66
"15",2015-01-01 02:30:00,167.3
"16",2015-01-01 02:45:00,170.93
"17",2015-01-01 03:00:00,173.93
"18",2015-01-01 03:15:00,173.93
"19",2015-01-01 03:30:00,173.93
"20",2015-01-01 03:45:00,173.93
"21",2015-01-01 04:00:00,167.5
"22",2015-01-01 04:15:00,161.07
"23",2015-01-01 04:30:00,154.64
"24",2015-01-01 04:45:00,148.2
"25",2015-01-01 05:00:00,158.36
"26",2015-01-01 05:15:00,168.53
"27",2015-01-01 05:30:00,178.7
"28",2015-01-01 05:45:00,188.86
"29",2015-01-01 06:00:00,203.64
"30",2015-01-01 06:15:00,218.42
"31",2015-01-01 06:30:00,233.2
"32",2015-01-01 06:45:00,247.97
"33",2015-01-01 07:00:00,253.46
"34",2015-01-01 07:15:00,258.95
"35",2015-01-01 07:30:00,264.44
"36",2015-01-01 07:45:00,269.92
"37",2015-01-01 08:00:00,284.31
"38",2015-01-01 08:15:00,298.71
"39",2015-01-01 08:30:00,313.11
"40",2015-01-01 08:45:00,327.5
"41",2015-01-01 09:00:00,338.93
"42",2015-01-01 09:15:00,350.36
"43",2015-01-01 09:30:00,361.79
"44",2015-01-01 09:45:00,373.21
"45",2015-01-01 10:00:00,457.9
"46",2015-01-01 10:15:00,457.9
"47",2015-01-01 10:30:00,457.9
"48",2015-01-01 10:45:00,457.9
"49",2015-01-01 11:00:00,470.14
"50",2015-01-01 11:15:00,482.39
"51",2015-01-01 11:30:00,494.64
"52",2015-01-01 11:45:00,506.88
"53",2015-01-01 12:00:00,501.87
"54",2015-01-01 12:15:00,496.86
"55",2015-01-01 12:30:00,491.85
"56",2015-01-01 12:45:00,486.85
"57",2015-01-01 13:00:00,479.52
"58",2015-01-01 13:15:00,472.19
"59",2015-01-01 13:30:00,464.86
"60",2015-01-01 13:45:00,457.53
"61",2015-01-01 14:00:00,447.79
"62",2015-01-01 14:15:00,438.05
"63",2015-01-01 14:30:00,428.31
"64",2015-01-01 14:45:00,418.59
"65",2015-01-01 15:00:00,397.4
"66",2015-01-01 15:15:00,397.4
"67",2015-01-01 15:30:00,397.4
"68",2015-01-01 15:45:00,397.4
"69",2015-01-01 16:00:00,370.97
"70",2015-01-01 16:15:00,344.54
"71",2015-01-01 16:30:00,318.11
"72",2015-01-01 16:45:00,291.69
"73",2015-01-01 17:00:00,280.09
"74",2015-01-01 17:15:00,268.49
"75",2015-01-01 17:30:00,256.89
"76",2015-01-01 17:45:00,245.28
"77",2015-01-01 18:00:00,239.05
"78",2015-01-01 18:15:00,232.82
"79",2015-01-01 18:30:00,226.59
"80",2015-01-01 18:45:00,220.36
"81",2015-01-01 19:00:00,204.01
"82",2015-01-01 19:15:00,187.66
"83",2015-01-01 19:30:00,171.32
"84",2015-01-01 19:45:00,154.98
"85",2015-01-01 20:00:00,144.58
"86",2015-01-01 20:15:00,134.18
"87",2015-01-01 20:30:00,123.78
"88",2015-01-01 20:45:00,113.39
"89",2015-01-01 21:00:00,118.86
"90",2015-01-01 21:15:00,124.33
"91",2015-01-01 21:30:00,129.8
"92",2015-01-01 21:45:00,135.27
"93",2015-01-01 22:00:00,96.79
"94",2015-01-01 22:15:00,96.79
"95",2015-01-01 22:30:00,96.79
"96",2015-01-01 22:45:00,96.79
"97",2015-01-01 23:00:00,93.52
"98",2015-01-01 23:15:00,90.25
"99",2015-01-01 23:30:00,86.98
"100",2015-01-01 23:45:00,83.71
"101",2015-01-02 00:00:00,90.38
"102",2015-01-02 00:15:00,97.05
"103",2015-01-02 00:30:00,103.72
"104",2015-01-02 00:45:00,110.39
"105",2015-01-02 01:00:00,116.92
"106",2015-01-02 01:15:00,123.45
"107",2015-01-02 01:30:00,129.98
"108",2015-01-02 01:45:00,136.52
"109",2015-01-02 02:00:00,144.13
"110",2015-01-02 02:15:00,151.75
"111",2015-01-02 02:30:00,159.37
"112",2015-01-02 02:45:00,166.98
"113",2015-01-02 03:00:00,199.68
"114",2015-01-02 03:15:00,199.68
"115",2015-01-02 03:30:00,199.68
"116",2015-01-02 03:45:00,199.68
"117",2015-01-02 04:00:00,206.29
"118",2015-01-02 04:15:00,212.9
"119",2015-01-02 04:30:00,219.51
"120",2015-01-02 04:45:00,226.12
"121",2015-01-02 05:00:00,218.78
"122",2015-01-02 05:15:00,211.44
"123",2015-01-02 05:30:00,204.1
"124",2015-01-02 05:45:00,196.74
"125",2015-01-02 06:00:00,199.02
"126",2015-01-02 06:15:00,201.3
"127",2015-01-02 06:30:00,203.58
"128",2015-01-02 06:45:00,205.87
"129",2015-01-02 07:00:00,203.96
"130",2015-01-02 07:15:00,202.06
"131",2015-01-02 07:30:00,200.16
"132",2015-01-02 07:45:00,198.26
"133",2015-01-02 08:00:00,219.09
"134",2015-01-02 08:15:00,239.91
"135",2015-01-02 08:30:00,260.73
"136",2015-01-02 08:45:00,281.56
"137",2015-01-02 09:00:00,283.38
"138",2015-01-02 09:15:00,285.2
"139",2015-01-02 09:30:00,287.02
"140",2015-01-02 09:45:00,288.84
"141",2015-01-02 10:00:00,264.67
"142",2015-01-02 10:15:00,264.67
"143",2015-01-02 10:30:00,264.67
"144",2015-01-02 10:45:00,264.67
"145",2015-01-02 11:00:00,290.28
"146",2015-01-02 11:15:00,315.89
"147",2015-01-02 11:30:00,341.5
"148",2015-01-02 11:45:00,367.09
"149",2015-01-02 12:00:00,389.75
"150",2015-01-02 12:15:00,412.41
"151",2015-01-02 12:30:00,435.07
"152",2015-01-02 12:45:00,457.71
"153",2015-01-02 13:00:00,484.82
"154",2015-01-02 13:15:00,511.93
"155",2015-01-02 13:30:00,539.04
"156",2015-01-02 13:45:00,566.15
"157",2015-01-02 14:00:00,628.57
"158",2015-01-02 14:15:00,690.98
"159",2015-01-02 14:30:00,753.39
"160",2015-01-02 14:45:00,815.8
"161",2015-01-02 15:00:00,1063.71
"162",2015-01-02 15:15:00,1063.71
"163",2015-01-02 15:30:00,1063.71
"164",2015-01-02 15:45:00,1063.71
"165",2015-01-02 16:00:00,1119.8
"166",2015-01-02 16:15:00,1175.89
"167",2015-01-02 16:30:00,1231.98
"168",2015-01-02 16:45:00,1288.08
"169",2015-01-02 17:00:00,1320.92
"170",2015-01-02 17:15:00,1353.76
"171",2015-01-02 17:30:00,1386.6
"172",2015-01-02 17:45:00,1419.42
"173",2015-01-02 18:00:00,1456.43
"174",2015-01-02 18:15:00,1493.44
"175",2015-01-02 18:30:00,1530.45
"176",2015-01-02 18:45:00,1567.46
"177",2015-01-02 19:00:00,1585.06
"178",2015-01-02 19:15:00,1602.66
"179",2015-01-02 19:30:00,1620.26
"180",2015-01-02 19:45:00,1637.86
"181",2015-01-02 20:00:00,1614.31
"182",2015-01-02 20:15:00,1590.76
"183",2015-01-02 20:30:00,1567.21
"184",2015-01-02 20:45:00,1543.66
"185",2015-01-02 21:00:00,1533.03
"186",2015-01-02 21:15:00,1522.4
"187",2015-01-02 21:30:00,1511.77
"188",2015-01-02 21:45:00,1501.15
"189",2015-01-02 22:00:00,1402.97
"190",2015-01-02 22:15:00,1402.97
"191",2015-01-02 22:30:00,1402.97
"192",2015-01-02 22:45:00,1402.97
"193",2015-01-02 23:00:00,1381.61
"194",2015-01-02 23:15:00,1360.26
"195",2015-01-02 23:30:00,1338.91
"196",2015-01-02 23:45:00,1317.55
"197",2015-01-03 00:00:00,1326.97
"198",2015-01-03 00:15:00,1336.39
"199",2015-01-03 00:30:00,1345.81
"200",2015-01-03 00:45:00,1355.23
"201",2015-01-03 01:00:00,1369.82
"202",2015-01-03 01:15:00,1384.41
"203",2015-01-03 01:30:00,1399
"204",2015-01-03 01:45:00,1413.61
"205",2015-01-03 02:00:00,1390.8
"206",2015-01-03 02:15:00,1367.99
"207",2015-01-03 02:30:00,1345.18
"208",2015-01-03 02:45:00,1322.37
"209",2015-01-03 03:00:00,1275.76
"210",2015-01-03 03:15:00,1275.76
"211",2015-01-03 03:30:00,1275.76
"212",2015-01-03 03:45:00,1275.76
"213",2015-01-03 04:00:00,1247.16
"214",2015-01-03 04:15:00,1218.56
"215",2015-01-03 04:30:00,1189.96
"216",2015-01-03 04:45:00,1161.36
"217",2015-01-03 05:00:00,1133.78
"218",2015-01-03 05:15:00,1106.2
"219",2015-01-03 05:30:00,1078.62
"220",2015-01-03 05:45:00,1051.03
"221",2015-01-03 06:00:00,1024.26
"222",2015-01-03 06:15:00,997.49
"223",2015-01-03 06:30:00,970.72
"224",2015-01-03 06:45:00,943.94
"225",2015-01-03 07:00:00,921.69
"226",2015-01-03 07:15:00,899.43
"227",2015-01-03 07:30:00,877.17
"228",2015-01-03 07:45:00,854.92
"229",2015-01-03 08:00:00,834.51
"230",2015-01-03 08:15:00,814.1
"231",2015-01-03 08:30:00,793.69
"232",2015-01-03 08:45:00,773.28
