"","TIME","PUN","DEM","SOLAR","WIND"
"1",2015-01-01,14.7633333333333,5057202,13953.0715,51556.45
"2",2015-01-02,4.95416666666667,5454168,8335.207,125443.7605
"3",2015-01-03,18.6470833333333,5206963,6160.8235,106554.6955
"4",2015-01-04,13.5233333333333,4884862,16323.526,197376.0355
"5",2015-01-05,36.1770833333333,5902328,18572.3815,155680.716
"6",2015-01-06,33.66875,5983648,30892.0675,52815.5155
"7",2015-01-07,38.5904166666667,6202135,10804.3635,55452.252
"8",2015-01-08,28.0479166666667,6206605,7732.6005,74925.0045
"9",2015-01-09,24.4825,6234886,7608.96,183870.1945
"10",2015-01-10,12.1520833333333,5653187,9913.7975,227182.1645
"11",2015-01-11,1.48875,5303838,19330.098,185655.7065
"12",2015-01-12,22.56125,6460234,13440.827,177420.2795
"13",2015-01-13,24.97125,6480700,44873.243,79386.3055
"14",2015-01-14,27.6754166666667,6714538,18482.615,77871.4925
"15",2015-01-15,24.7595833333333,6727743,14749.029,113396.9325
"16",2015-01-16,33.8866666666667,6611553,23803.821,69809.897
"17",2015-01-17,31.2620833333333,5831557,19814.5475,87299.6735
"18",2015-01-18,27.1820833333333,5521018,33182.825,29831.398
"19",2015-01-19,42.7454166666667,6656785,28191.9625,13148.4435
"20",2015-01-20,47.0016666666667,6650335,16384.891,23397.255
"21",2015-01-21,44.92875,6636047,43581.663,21434.955
"22",2015-01-22,43.8845833333333,6647192,19123.479,51123.61
"23",2015-01-23,42.25875,6593095,17511.28,102476.0205
"24",2015-01-24,29.5604166666667,5755834,14158.8075,169001.898
"25",2015-01-25,28.4279166666667,5370685,12800.836,163105.419
"26",2015-01-26,37.2291666666667,6524174,8774.9565,66122.7315
"27",2015-01-27,33.2120833333333,6730375,13455.302,86316.1315
"28",2015-01-28,27.47375,6816186,11822.92,101038.007
"29",2015-01-29,26.93,6842688,17250.0835,109225.8485
"30",2015-01-30,38.2925,6810891,17344.398,128017.463
"31",2015-01-31,29.7779166666667,5767040,20156.522,59667.206
"32",2015-02-01,29.2370833333333,5374303,16977.574,29243.834
"33",2015-02-02,42.47125,6564954,28942.7845,59443.528
"34",2015-02-03,45.7570833333333,6713980,31603.731,35187.492
"35",2015-02-04,48.49375,6716492,31520.103,32788.1355
"36",2015-02-05,43.5716666666667,6728420,24687.6885,41528.2525
"37",2015-02-06,39.2866666666667,6643213,39779.807,87889.422
"38",2015-02-07,25.5195833333333,5690160,36135.966,110468.7505
"39",2015-02-08,13.3341666666667,5408152,37306.94,205066.726
"40",2015-02-09,27.9275,6383995,11122.7995,185579.1135
"41",2015-02-10,44.39625,6754983,18120.921,156429.7875
"42",2015-02-11,48.5766666666667,6785016,40155.464,47476.683
"43",2015-02-12,48.1508333333333,6648970,60837.5755,50440.79
"44",2015-02-13,38.6075,6625037,68863.9235,87685.813
"45",2015-02-14,32.7391666666667,5797303,53812.3305,89517.705
"46",2015-02-15,29.26625,5424746,68843.522,71289.0805
"47",2015-02-16,35.63,6570199,64390.506,53929.875
"48",2015-02-17,42.995,6673123,50266.0615,67695.0715
"49",2015-02-18,43.2220833333333,6658805,53830.1,17860.8375
"50",2015-02-19,37.9191666666667,6703004,70015.539,25642.1085
"51",2015-02-20,30.905,6676441,54370.4045,66196.399
"52",2015-02-21,30.6879166666667,5750227,38809.8565,121356.204
"53",2015-02-22,32.7645833333333,5343663,50302.297,50648.97
"54",2015-02-23,31.9775,6506323,24784.972,63282.299
"55",2015-02-24,34.80125,6701676,46248.736,78766.3145
"56",2015-02-25,44.32875,6714786,54465.7365,152429.305
"57",2015-02-26,37.1225,6707923,72599.324,92634.06
"58",2015-02-27,38.9370833333333,6546442,57902.18,30292.477
"59",2015-02-28,28.8108333333333,5851677,72895.122,52814.8095
